AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,Label
12.604275,7.936845,2.254186,1.360192,0.864114,2.313988,2.031732,1.223542,1.462903,2.327427,1.381317,0.477834,0.658208,1.473969,15.35131,3.024664,5.726725,5.790992,2.591244,2.972459,9.027483,5.999158,3.198484,1.46767,0.597043,happy
8.460215,3.20147,2.156539,1.029468,0.660706,1.719661,0.559995,0.769841,0.57126,0.56053,11.51396,5.846335,2.879025,1.822913,0.988433,0.475047,0.672297,0.353228,0.345478,0.324464,3.081069,2.242792,1.207392,0.886367,0.79321,sad
63.936363,15.527596,3.309537,2.435076,1.478191,11.608953,2.048561,1.719122,1.972532,1.025118,0.972439,0.460202,0.241426,0.690896,0.468082,5.463266,2.039445,1.15512,1.206436,0.9653,17.549295,6.808558,3.031587,2.107584,1.107238,happy
47.530605,6.832502,2.076261,0.888296,0.753943,2.354217,0.553278,1.382793,0.742972,0.665377,0.672059,0.237165,0.31176,0.301312,0.36549,1.937549,2.358197,0.695277,0.8218,1.321846,21.28445,3.84906,1.438208,0.748727,0.928524,happy
13.21889,2.335129,1.966235,2.26216,0.715781,14.478733,2.596044,2.907524,1.814053,1.187519,2.950494,2.242,0.472127,0.712803,0.545891,56.688381,16.98929,6.681466,4.257149,2.431743,11.041066,3.1623,1.001994,1.082124,0.991732,sad
6.021615,3.880698,3.668363,2.113109,0.702242,5.74479,4.065,3.739023,1.215552,1.107649,1.306299,1.036311,1.057116,1.912704,0.861856,2317.653791,928.029668,399.303417,143.616501,43.248473,8.552015,3.191493,2.192075,1.109796,1.077647,sad
10.11839,1.282085,3.181821,1.747273,0.580351,12.003534,1.013243,0.601195,1.696654,2.787784,1.849507,0.198713,0.844834,1.427263,9.158769,161.640309,13.944939,5.476332,5.55164,5.554468,10.960905,1.658631,1.936599,1.742769,1.000132,happy
54.764759,11.149631,5.439723,1.869207,0.910261,1.781789,2.54721,2.860821,1.772947,2.213076,1.368128,1.339709,1.014064,4.622402,9.95772,33.511784,6.99498,5.609614,3.378235,2.38424,21.159315,4.763081,2.592552,2.89764,1.479119,sad
8.573171,2.84709,0.967065,0.778266,1.044483,5.189685,3.111407,1.239477,1.098569,1.056743,1.852227,1.660558,1.066937,0.725169,0.536355,33.811612,19.907356,10.144339,4.549964,2.416704,5.099792,2.547784,0.925869,1.136641,0.778489,sad
69.238494,14.219255,7.596315,2.311168,0.940033,1.777791,2.068211,3.068165,1.603617,2.242957,1.431577,1.271353,0.979488,4.701885,9.924995,34.638405,8.520182,5.416107,2.642502,2.382898,21.411947,4.405692,2.784687,2.895424,1.54453,sad
21.417486,4.399309,1.369265,2.274998,1.074009,1.410085,0.678506,0.84123,2.293997,2.464565,4.495164,3.98827,4.118526,2.305008,1.527287,5.000528,4.996823,2.351719,2.222682,5.494248,8.214642,2.691526,0.815767,2.483055,1.218853,sad
20.629357,5.512455,1.976582,1.842393,0.574889,5.5379,2.433323,1.078591,1.072674,0.868635,2.004553,0.654127,0.765884,0.673411,0.605107,24.429703,10.467033,7.325974,3.407161,1.274301,16.43992,4.174187,1.665865,1.869151,0.889082,sad
5.34568,0.940744,1.089259,0.888309,0.425848,2.40695,1.460073,0.915501,0.547317,0.536575,5.417175,3.828104,3.407275,1.344253,0.678751,0.889952,0.480678,0.218079,0.56667,0.363578,12.843085,1.340792,1.450856,1.290692,0.577202,sad
6.492285,1.288556,2.006723,1.355335,0.885031,2.92139,1.594827,1.265149,0.686158,1.12859,0.944204,0.343609,0.431894,0.514691,0.337564,2.50601,0.803532,2.297735,1.337597,1.279667,5.260947,2.428869,1.911226,1.01733,0.572995,happy
2.757303,0.790976,1.405489,4.298896,2.953012,1.709175,1.620967,2.838399,9.216479,8.094252,8.19239,3.518286,1.167365,7.299214,3.009012,3.351199,1.617374,3.002883,10.006162,15.736554,4.974649,1.752154,2.306638,5.202506,2.450814,happy
32.917576,3.575296,2.156092,2.008678,3.076114,10.455223,4.004994,4.265206,0.904762,1.438291,3.829771,2.77719,3.394997,1.131171,0.523012,11.676087,2.862597,3.32316,1.478692,1.235712,64.774983,3.487168,2.59016,2.313425,4.52243,happy
14.104559,4.177293,2.112905,4.24109,0.962128,0.686088,0.269217,0.324202,1.814226,1.207904,2.956498,2.84969,2.132571,1.779373,1.163611,3.699369,0.876495,6.220543,2.802172,3.575082,4.901907,1.035708,1.92452,4.035229,0.9013,sad
3.031009,1.335312,1.26032,1.505692,1.114192,2.96423,0.940255,0.84816,2.261054,1.424783,5.777428,3.022967,2.371082,1.956812,0.894384,1.464612,0.686811,0.636864,0.863798,0.816429,2.9391,1.039021,0.950951,1.420344,0.929806,happy
66.863587,15.836707,3.914564,2.026635,1.090979,3.67223,2.970765,1.236579,0.554466,0.903326,0.474919,0.136009,0.481642,2.700844,3.394944,75.771726,10.720388,1.220227,1.933895,0.899168,22.134095,7.116242,1.616821,0.679585,0.790446,sad
2.3106,4.099208,1.508142,1.159882,1.997285,2.723792,1.134996,1.087536,1.236768,2.945074,1.653697,1.69939,0.915653,1.171245,1.703516,1.082295,0.834879,0.663724,1.476143,2.130068,7.054092,5.867873,1.722628,2.648464,2.613218,happy
27.912127,11.006244,1.576502,1.640975,2.251985,1.567076,0.55024,0.912845,1.081763,3.416318,3.310759,0.535325,0.8704,1.296451,1.144193,2.767363,1.41604,3.209958,3.073787,2.835574,7.639794,4.74104,1.340348,1.285093,2.38077,sad
